study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,54.98069779740141,0.3120619727215157,2.0216092564872336e-11,0.5,0,on_off_m3,23
mock,scale1,self,self,with_guess,3.0,116.0,19.33859550925236,0.316153997436213,3.0906060580878926e-10,0.5,0,on_off_m3,23
mock,scale1,self,self,without_guess,1.0,118.0,129.72432337617295,0.5196273083798204,9.98177167671018e-21,0.5,1,on_off_m3,23
mock,scale1,self,self,with_guess,3.0,116.0,43.45237413061702,0.5169613979711906,6.757269953009123e-19,0.5,1,on_off_m3,23
mock,scale1,self,self,without_guess,1.0,118.0,95.87722790059469,0.44360602964562224,6.255850026614255e-17,0.5,2,on_off_m3,23
mock,scale1,self,self,with_guess,3.0,116.0,32.004466790260366,0.438714723730264,3.7915559735929604e-15,0.5,2,on_off_m3,23
mock,scale1,self,self,without_guess,1.0,118.0,92.44921134156348,0.4345429035281082,1.6388678895776072e-16,0.5,3,on_off_m3,23
mock,scale1,self,self,with_guess,3.0,116.0,31.024505023771013,0.4308222160066031,8.452046991596907e-15,0.5,3,on_off_m3,23
