study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.8103448,1.139135,116.0,-0.7113686,0.4782839,0.8924131,0.5,0,on_off_m3,28
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.8106961,0.9751072,116.0,-0.8313918,0.4074604,0.8394487,0.5,0,on_off_m3,28
mock,scale1,self,self,PLPLvsACPL,fixGuess,-6.241935,1.123172,116.0,-5.557418,1.771736e-07,1.054799e-06,0.5,0,on_off_m3,28
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.242287,0.9934524,116.0,-6.283428,5.989614e-09,3.581776e-08,0.5,0,on_off_m3,28
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.1285266,1.271573,116.0,-0.1010769,0.9196639,0.9996282,0.5,1,on_off_m3,28
mock,scale1,self,self,ACPLvsACAC,fixCondition,0.02037351,1.088475,116.0,0.01871748,0.9850986,0.9999976,0.5,1,on_off_m3,28
mock,scale1,self,self,PLPLvsACPL,fixGuess,-5.785924,1.253754,116.0,-4.614879,1.02208e-05,5.990046e-05,0.5,1,on_off_m3,28
mock,scale1,self,self,PLACvsACAC,fixGuess,-5.637024,1.108953,116.0,-5.083193,1.438042e-06,8.511842e-06,0.5,1,on_off_m3,28
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-1.291536,1.249844,116.0,-1.033358,0.3035862,0.7302568,0.5,2,on_off_m3,28
mock,scale1,self,self,ACPLvsACAC,fixCondition,0.05517827,1.069875,116.0,0.0515745,0.9589564,0.9999505,0.5,2,on_off_m3,28
mock,scale1,self,self,PLPLvsACPL,fixGuess,-7.507331,1.23233,116.0,-6.091983,1.49166e-08,8.912703e-08,0.5,2,on_off_m3,28
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.160617,1.090003,116.0,-5.651926,1.153504e-07,6.872965e-07,0.5,2,on_off_m3,28
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.1677116,1.136539,116.0,-0.1475634,0.8829435,0.9988481,0.5,3,on_off_m3,28
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.204584,0.9728851,116.0,-0.2102859,0.8338134,0.9966951,0.5,3,on_off_m3,28
mock,scale1,self,self,PLPLvsACPL,fixGuess,-5.441349,1.120612,116.0,-4.855693,3.781018e-06,2.228727e-05,0.5,3,on_off_m3,28
mock,scale1,self,self,PLACvsACAC,fixGuess,-5.478221,0.9911885,116.0,-5.526922,2.033247e-07,1.210146e-06,0.5,3,on_off_m3,28
