study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-3.569501,1.411769,116.0,-2.528389,0.0128027,0.06079874,0.5,0,off_on_m3,2
mock,scale1,self,self,ACPLvsACAC,fixCondition,-2.068525,1.354107,116.0,-1.527594,0.1293357,0.4244333,0.5,0,off_on_m3,2
mock,scale1,self,self,PLPLvsACPL,fixGuess,-1.02005,1.597726,116.0,-0.6384389,0.5244465,0.9193498,0.5,0,off_on_m3,2
mock,scale1,self,self,PLACvsACAC,fixGuess,0.4809256,1.128702,116.0,0.4260872,0.6708339,0.9739079,0.5,0,off_on_m3,2
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-6.010796,1.210866,116.0,-4.964049,2.393525e-06,1.413855e-05,0.5,1,off_on_m3,2
mock,scale1,self,self,ACPLvsACAC,fixCondition,-4.457607,1.161409,116.0,-3.838102,0.000202369,0.001146524,0.5,1,off_on_m3,2
mock,scale1,self,self,PLPLvsACPL,fixGuess,-0.1829574,1.37036,116.0,-0.1335105,0.894021,0.9991456,0.5,1,off_on_m3,2
mock,scale1,self,self,PLACvsACAC,fixGuess,1.370231,0.9680812,116.0,1.41541,0.1596276,0.4923542,0.5,1,off_on_m3,2
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-4.483131,1.295901,116.0,-3.45947,0.0007579826,0.004167023,0.5,2,off_on_m3,2
mock,scale1,self,self,ACPLvsACAC,fixCondition,-5.505226,1.242972,116.0,-4.429085,2.154894e-05,0.0001255774,0.5,2,off_on_m3,2
mock,scale1,self,self,PLPLvsACPL,fixGuess,0.443609,1.466596,116.0,0.3024753,0.7628315,0.9903407,0.5,2,off_on_m3,2
mock,scale1,self,self,PLACvsACAC,fixGuess,-0.5784866,1.036067,116.0,-0.5583488,0.5776824,0.9440937,0.5,2,off_on_m3,2
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-4.013495,1.08451,116.0,-3.700747,0.0003302767,0.001853371,0.5,3,off_on_m3,2
mock,scale1,self,self,ACPLvsACAC,fixCondition,-2.835075,1.040214,116.0,-2.725473,0.007416384,0.03675076,0.5,3,off_on_m3,2
mock,scale1,self,self,PLPLvsACPL,fixGuess,-0.764411,1.22736,116.0,-0.6228091,0.5346325,0.9245797,0.5,3,off_on_m3,2
mock,scale1,self,self,PLACvsACAC,fixGuess,0.4140088,0.8670602,116.0,0.4774856,0.6339148,0.963919,0.5,3,off_on_m3,2
