study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.7777778,1.107415,116.0,-0.7023363,0.4838764,0.8959725,0.5,0,on_off_m3,10
mock,scale1,self,self,ACPLvsACAC,fixCondition,1.875223,0.984877,116.0,1.904017,0.05938523,0.232041,0.5,0,on_off_m3,10
mock,scale1,self,self,PLPLvsACPL,fixGuess,-8.757576,1.056874,116.0,-8.286297,2.323587e-13,1.434963e-12,0.5,0,on_off_m3,10
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.104575,1.038926,116.0,-5.875852,4.112106e-08,2.454066e-07,0.5,0,on_off_m3,10
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-1.081197,1.12523,116.0,-0.9608672,0.3386175,0.7718575,0.5,1,on_off_m3,10
mock,scale1,self,self,ACPLvsACAC,fixCondition,2.962567,1.000721,116.0,2.960433,0.003725982,0.01924677,0.5,1,on_off_m3,10
mock,scale1,self,self,PLPLvsACPL,fixGuess,-8.91958,1.073876,116.0,-8.305966,2.094418e-13,1.296963e-12,0.5,1,on_off_m3,10
mock,scale1,self,self,PLACvsACAC,fixGuess,-4.875817,1.055639,116.0,-4.618829,1.005791e-05,5.895219e-05,0.5,1,on_off_m3,10
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.4444444,1.140262,116.0,-0.3897738,0.6974185,0.9798011,0.5,2,on_off_m3,10
mock,scale1,self,self,ACPLvsACAC,fixCondition,1.946524,1.01409,116.0,1.919479,0.05738001,0.2255883,0.5,2,on_off_m3,10
mock,scale1,self,self,PLPLvsACPL,fixGuess,-10.18182,1.088223,116.0,-9.356374,7.654344e-16,4.463097e-14,0.5,2,on_off_m3,10
mock,scale1,self,self,PLACvsACAC,fixGuess,-7.79085,1.069742,116.0,-7.282925,4.244028e-11,2.543985e-10,0.5,2,on_off_m3,10
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.9487179,1.188612,116.0,-0.7981728,0.4264013,0.8551247,0.5,3,on_off_m3,10
mock,scale1,self,self,ACPLvsACAC,fixCondition,0.2727273,1.05709,116.0,0.2579982,0.7968654,0.9939485,0.5,3,on_off_m3,10
mock,scale1,self,self,PLPLvsACPL,fixGuess,-7.888112,1.134366,116.0,-6.953763,2.234611e-10,1.338706e-09,0.5,3,on_off_m3,10
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.666667,1.115102,116.0,-5.978529,2.54565e-08,1.520139e-07,0.5,3,on_off_m3,10
