study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,20.95,0.9564145,116.0,19.0557,22.8443,0.5,0,on_off_m3,2
mock,scale1,self,self,ACPL,28.25926,0.8231506,116.0,26.62891,29.88961,0.5,0,on_off_m3,2
mock,scale1,self,self,PLAC,19.42424,0.7445677,116.0,17.94953,20.89895,0.5,0,on_off_m3,2
mock,scale1,self,self,ACAC,28.725,0.6762872,116.0,27.38553,30.06447,0.5,0,on_off_m3,2
mock,scale1,self,self,PLPL,21.9,0.8379913,116.0,20.24025,23.55975,0.5,1,on_off_m3,2
mock,scale1,self,self,ACPL,29.07407,0.7212281,116.0,27.64559,30.50256,0.5,1,on_off_m3,2
mock,scale1,self,self,PLAC,19.72727,0.6523754,116.0,18.43516,21.01938,0.5,1,on_off_m3,2
mock,scale1,self,self,ACAC,26.975,0.5925493,116.0,25.80138,28.14862,0.5,1,on_off_m3,2
mock,scale1,self,self,PLPL,21.35,0.9401105,116.0,19.48799,23.21201,0.5,2,on_off_m3,2
mock,scale1,self,self,ACPL,27.88889,0.8091183,116.0,26.28633,29.49145,0.5,2,on_off_m3,2
mock,scale1,self,self,PLAC,20.15152,0.7318751,116.0,18.70194,21.60109,0.5,2,on_off_m3,2
mock,scale1,self,self,ACAC,27.225,0.6647585,116.0,25.90836,28.54164,0.5,2,on_off_m3,2
mock,scale1,self,self,PLPL,21.0,0.9722872,116.0,19.07426,22.92574,0.5,3,on_off_m3,2
mock,scale1,self,self,ACPL,28.25926,0.8368116,116.0,26.60185,29.91667,0.5,3,on_off_m3,2
mock,scale1,self,self,PLAC,20.18182,0.7569245,116.0,18.68263,21.681,0.5,3,on_off_m3,2
mock,scale1,self,self,ACAC,28.15,0.6875109,116.0,26.7883,29.5117,0.5,3,on_off_m3,2
