study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,20.47368,0.8553847,116.0,18.77949,22.16788,0.5,0,off_on_m3,0
mock,scale1,self,self,ACPL,19.64706,0.9043027,116.0,17.85597,21.43814,0.5,0,off_on_m3,0
mock,scale1,self,self,PLAC,25.06977,0.5685963,116.0,23.94359,26.19594,0.5,0,off_on_m3,0
mock,scale1,self,self,ACAC,25.65854,0.5822994,116.0,24.50522,26.81185,0.5,0,off_on_m3,0
mock,scale1,self,self,PLPL,21.94737,0.8347419,116.0,20.29406,23.60068,0.5,1,off_on_m3,0
mock,scale1,self,self,ACPL,18.11765,0.8824794,116.0,16.36979,19.86551,0.5,1,off_on_m3,0
mock,scale1,self,self,PLAC,27.37209,0.5548745,116.0,26.27309,28.47109,0.5,1,off_on_m3,0
mock,scale1,self,self,ACAC,26.02439,0.5682469,116.0,24.89891,27.14987,0.5,1,off_on_m3,0
mock,scale1,self,self,PLPL,20.36842,0.9635222,116.0,18.46004,22.2768,0.5,2,off_on_m3,0
mock,scale1,self,self,ACPL,16.82353,1.018624,116.0,14.80602,18.84104,0.5,2,off_on_m3,0
mock,scale1,self,self,PLAC,26.32558,0.6404781,116.0,25.05703,27.59413,0.5,2,off_on_m3,0
mock,scale1,self,self,ACAC,25.82927,0.6559135,116.0,24.53015,27.12839,0.5,2,off_on_m3,0
mock,scale1,self,self,PLPL,21.10526,0.9727109,116.0,19.17869,23.03184,0.5,3,off_on_m3,0
mock,scale1,self,self,ACPL,17.76471,1.028339,116.0,15.72795,19.80146,0.5,3,off_on_m3,0
mock,scale1,self,self,PLAC,25.46512,0.6465861,116.0,24.18447,26.74576,0.5,3,off_on_m3,0
mock,scale1,self,self,ACAC,24.82927,0.6621687,116.0,23.51776,26.14078,0.5,3,off_on_m3,0
