study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,0.08416840296505788,-0.0077557526078317895,0.772235242935478,0.5,0,off_on_m3,0
mock,scale1,self,self,with_guess,3.0,116.0,17.126954024518177,0.2890465580963123,2.8328320328958127e-09,0.5,0,off_on_m3,0
mock,scale1,self,self,without_guess,1.0,118.0,5.302704038897068,0.03489545563850516,0.023044349420072753,0.5,1,off_on_m3,0
mock,scale1,self,self,with_guess,3.0,116.0,31.70554449760747,0.43633053430607205,4.836272503090826e-15,0.5,1,off_on_m3,0
mock,scale1,self,self,without_guess,1.0,118.0,1.740458397585439,0.006183861390665735,0.18963497586689504,0.5,2,off_on_m3,0
mock,scale1,self,self,with_guess,3.0,116.0,28.22755995248671,0.40702406363856247,8.862380964125464e-14,0.5,2,off_on_m3,0
mock,scale1,self,self,without_guess,1.0,118.0,2.262180783758869,0.010495242773190472,0.13523911804431257,0.5,3,off_on_m3,0
mock,scale1,self,self,with_guess,3.0,116.0,16.808655928956668,0.28496735465949097,3.923301955889825e-09,0.5,3,off_on_m3,0
