study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,2.923077,1.297374,116.0,2.253072,0.02613444,0.1153169,0.5,0,on_off_m3,1
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.4117647,1.134521,116.0,-0.3629415,0.7173091,0.9835665,0.5,0,on_off_m3,1
mock,scale1,self,self,PLPLvsACPL,fixGuess,-5.846154,1.218671,116.0,-4.797156,4.828383e-06,2.842521e-05,0.5,0,on_off_m3,1
mock,scale1,self,self,PLACvsACAC,fixGuess,-9.180995,1.218671,116.0,-7.533614,1.177062e-11,7.060064e-11,0.5,0,on_off_m3,1
mock,scale1,self,self,PLPLvsPLAC,fixCondition,3.115385,1.15255,116.0,2.703037,0.00790348,0.03898996,0.5,1,on_off_m3,1
mock,scale1,self,self,ACPLvsACAC,fixCondition,-1.117647,1.007875,116.0,-1.108914,0.2697611,0.6847914,0.5,1,on_off_m3,1
mock,scale1,self,self,PLPLvsACPL,fixGuess,-5.766968,1.082632,116.0,-5.326804,4.967847e-07,2.950449e-06,0.5,1,on_off_m3,1
mock,scale1,self,self,PLACvsACAC,fixGuess,-10.0,1.082632,116.0,-9.236749,1.457997e-15,4.807266e-14,0.5,1,on_off_m3,1
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.9615385,1.270665,116.0,-0.7567207,0.4507514,0.8736149,0.5,2,on_off_m3,1
mock,scale1,self,self,ACPLvsACAC,fixCondition,-2.852941,1.111164,116.0,-2.567524,0.01151391,0.05517642,0.5,2,on_off_m3,1
mock,scale1,self,self,PLPLvsACPL,fixGuess,-8.033937,1.193582,116.0,-6.730947,6.767744e-10,4.05254e-09,0.5,2,on_off_m3,1
mock,scale1,self,self,PLACvsACAC,fixGuess,-9.925339,1.193582,116.0,-8.315591,1.99061e-13,1.234457e-12,0.5,2,on_off_m3,1
mock,scale1,self,self,PLPLvsPLAC,fixCondition,0.9615385,1.137264,116.0,0.8454836,0.3995815,0.8325782,0.5,3,on_off_m3,1
mock,scale1,self,self,ACPLvsACAC,fixCondition,-2.323529,0.9945089,116.0,-2.336358,0.02118902,0.09577798,0.5,3,on_off_m3,1
mock,scale1,self,self,PLPLvsACPL,fixGuess,-6.714932,1.068274,116.0,-6.285777,5.922464e-09,3.541652e-08,0.5,3,on_off_m3,1
mock,scale1,self,self,PLACvsACAC,fixGuess,-10.0,1.068274,116.0,-9.360895,7.470038e-16,4.451994e-14,0.5,3,on_off_m3,1
