study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,20.73077,0.8743588,116.0,18.99899,22.46255,0.5,0,on_off_m3,25
mock,scale1,self,self,ACPL,29.29412,0.7646046,116.0,27.77972,30.80851,0.5,0,on_off_m3,25
mock,scale1,self,self,PLAC,19.19231,0.8743588,116.0,17.46053,20.92409,0.5,0,on_off_m3,25
mock,scale1,self,self,ACAC,25.11765,0.7646046,116.0,23.60325,26.63204,0.5,0,on_off_m3,25
mock,scale1,self,self,PLPL,21.23077,0.8100965,116.0,19.62627,22.83527,0.5,1,on_off_m3,25
mock,scale1,self,self,ACPL,27.0,0.7084089,116.0,25.59691,28.40309,0.5,1,on_off_m3,25
mock,scale1,self,self,PLAC,18.61538,0.8100965,116.0,17.01089,20.21988,0.5,1,on_off_m3,25
mock,scale1,self,self,ACAC,24.5,0.7084089,116.0,23.09691,25.90309,0.5,1,on_off_m3,25
mock,scale1,self,self,PLPL,22.23077,0.8796513,116.0,20.48851,23.97303,0.5,2,on_off_m3,25
mock,scale1,self,self,ACPL,27.52941,0.7692327,116.0,26.00585,29.05297,0.5,2,on_off_m3,25
mock,scale1,self,self,PLAC,19.11538,0.8796513,116.0,17.37312,20.85764,0.5,2,on_off_m3,25
mock,scale1,self,self,ACAC,25.0,0.7692327,116.0,23.47644,26.52356,0.5,2,on_off_m3,25
mock,scale1,self,self,PLPL,20.23077,0.9147945,116.0,18.4189,22.04264,0.5,3,on_off_m3,25
mock,scale1,self,self,ACPL,28.17647,0.7999646,116.0,26.59204,29.7609,0.5,3,on_off_m3,25
mock,scale1,self,self,PLAC,19.23077,0.9147945,116.0,17.4189,21.04264,0.5,3,on_off_m3,25
mock,scale1,self,self,ACAC,25.35294,0.7999646,116.0,23.76851,26.93737,0.5,3,on_off_m3,25
