study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,19.75,0.7809043,116.0,18.20332,21.29668,0.5,0,on_off_m3,11
mock,scale1,self,self,ACPL,26.67568,0.6793225,116.0,25.33019,28.02116,0.5,0,on_off_m3,11
mock,scale1,self,self,PLAC,19.26087,0.8616143,116.0,17.55433,20.96741,0.5,0,on_off_m3,11
mock,scale1,self,self,ACAC,26.3125,0.7304691,116.0,24.86571,27.75929,0.5,0,on_off_m3,11
mock,scale1,self,self,PLPL,20.82143,0.8063596,116.0,19.22433,22.41853,0.5,1,on_off_m3,11
mock,scale1,self,self,ACPL,27.40541,0.7014665,116.0,26.01606,28.79475,0.5,1,on_off_m3,11
mock,scale1,self,self,PLAC,20.0,0.8897006,116.0,18.23784,21.76216,0.5,1,on_off_m3,11
mock,scale1,self,self,ACAC,25.6875,0.7542804,116.0,24.19355,27.18145,0.5,1,on_off_m3,11
mock,scale1,self,self,PLPL,19.07143,0.6580667,116.0,17.76804,20.37481,0.5,2,on_off_m3,11
mock,scale1,self,self,ACPL,27.56757,0.5724639,116.0,26.43373,28.7014,0.5,2,on_off_m3,11
mock,scale1,self,self,PLAC,18.52174,0.7260809,116.0,17.08364,19.95983,0.5,2,on_off_m3,11
mock,scale1,self,self,ACAC,26.4375,0.6155651,116.0,25.2183,27.6567,0.5,2,on_off_m3,11
mock,scale1,self,self,PLPL,19.10714,0.7581149,116.0,17.6056,20.60868,0.5,3,on_off_m3,11
mock,scale1,self,self,ACPL,26.94595,0.6594976,116.0,25.63973,28.25216,0.5,3,on_off_m3,11
mock,scale1,self,self,PLAC,19.17391,0.8364696,116.0,17.51718,20.83065,0.5,3,on_off_m3,11
mock,scale1,self,self,ACAC,26.6875,0.7091516,116.0,25.28294,28.09206,0.5,3,on_off_m3,11
