study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,0.2227343,1.248505,116.0,0.1784008,0.8587194,0.9979724,0.5,0,on_off_m3,19
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.2440318,1.083184,116.0,-0.2252912,0.8221492,0.9959461,0.5,0,on_off_m3,19
mock,scale1,self,self,PLPLvsACPL,fixGuess,-6.275434,1.062955,116.0,-5.903762,3.610994e-08,2.155377e-07,0.5,0,on_off_m3,19
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.7422,1.265772,116.0,-5.326552,4.973377e-07,2.953725e-06,0.5,0,on_off_m3,19
mock,scale1,self,self,PLPLvsPLAC,fixCondition,1.46851,1.362736,116.0,1.077619,0.2834398,0.7038413,0.5,1,on_off_m3,19
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.7612732,1.182289,116.0,-0.6438977,0.5209129,0.9174776,0.5,1,on_off_m3,19
mock,scale1,self,self,PLPLvsACPL,fixGuess,-3.791563,1.160209,116.0,-3.267999,0.001425275,0.007677801,0.5,1,on_off_m3,19
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.021346,1.381583,116.0,-4.358296,2.848707e-05,0.0001655968,0.5,1,on_off_m3,19
mock,scale1,self,self,PLPLvsPLAC,fixCondition,0.6666667,1.258508,116.0,0.5297278,0.5973131,0.9516979,0.5,2,on_off_m3,19
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.3050398,1.091862,116.0,-0.2793757,0.7804541,0.9923499,0.5,2,on_off_m3,19
mock,scale1,self,self,PLPLvsACPL,fixGuess,-5.384615,1.071472,116.0,-5.025439,1.842491e-06,1.089542e-05,0.5,2,on_off_m3,19
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.356322,1.275913,116.0,-4.981782,2.219717e-06,1.311608e-05,0.5,2,on_off_m3,19
mock,scale1,self,self,PLPLvsPLAC,fixCondition,0.4239631,1.324876,116.0,0.3200021,0.7495424,0.9886099,0.5,3,on_off_m3,19
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.7789567,1.149442,116.0,-0.6776822,0.4993226,0.9053692,0.5,3,on_off_m3,19
mock,scale1,self,self,PLPLvsACPL,fixGuess,-4.649297,1.127976,116.0,-4.121804,7.087798e-05,0.0004079589,0.5,3,on_off_m3,19
mock,scale1,self,self,PLACvsACAC,fixGuess,-5.852217,1.343199,116.0,-4.356924,2.864079e-05,0.000166482,0.5,3,on_off_m3,19
