study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,78.72129046043693,0.3950832687124306,9.172727712518112e-15,0.5,0,on_off_m3,12
mock,scale1,self,self,with_guess,3.0,116.0,26.215821598465947,0.38863832557446387,5.100889179622631e-13,0.5,0,on_off_m3,12
mock,scale1,self,self,without_guess,1.0,118.0,49.817535977705695,0.29089651265163985,1.2481008787345215e-10,0.5,1,on_off_m3,12
mock,scale1,self,self,with_guess,3.0,116.0,16.422747048014067,0.2799584531411353,5.8364658779495575e-09,0.5,1,on_off_m3,12
mock,scale1,self,self,without_guess,1.0,118.0,39.80530424570198,0.245906209751241,5.080292274681294e-09,0.5,2,on_off_m3,12
mock,scale1,self,self,with_guess,3.0,116.0,15.028299504190075,0.2612591180251831,2.5061838241922057e-08,0.5,2,on_off_m3,12
mock,scale1,self,self,without_guess,1.0,118.0,52.07720031297357,0.30031773935002504,5.586573972677038e-11,0.5,3,on_off_m3,12
mock,scale1,self,self,with_guess,3.0,116.0,17.466582232089714,0.29334810571519443,2.0051506971377744e-09,0.5,3,on_off_m3,12
