study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,18.22222,0.8975824,116.0,16.44445,20.0,0.5,0,on_off_m3,31
mock,scale1,self,self,ACPL,27.4,0.7883557,116.0,25.83856,28.96144,0.5,0,on_off_m3,31
mock,scale1,self,self,PLAC,20.0,0.932795,116.0,18.15248,21.84752,0.5,0,on_off_m3,31
mock,scale1,self,self,ACAC,25.15152,0.8118939,116.0,23.54346,26.75957,0.5,0,on_off_m3,31
mock,scale1,self,self,PLPL,17.25926,0.8594144,116.0,15.55708,18.96144,0.5,1,on_off_m3,31
mock,scale1,self,self,ACPL,27.31429,0.7548323,116.0,25.81925,28.80933,0.5,1,on_off_m3,31
mock,scale1,self,self,PLAC,18.4,0.8931296,116.0,16.63104,20.16896,0.5,1,on_off_m3,31
mock,scale1,self,self,ACAC,26.27273,0.7773696,116.0,24.73305,27.81241,0.5,1,on_off_m3,31
mock,scale1,self,self,PLPL,18.48148,0.9510026,116.0,16.5979,20.36506,0.5,2,on_off_m3,31
mock,scale1,self,self,ACPL,28.22857,0.8352752,116.0,26.5742,29.88294,0.5,2,on_off_m3,31
mock,scale1,self,self,PLAC,18.96,0.9883109,116.0,17.00253,20.91747,0.5,2,on_off_m3,31
mock,scale1,self,self,ACAC,25.90909,0.8602142,116.0,24.20533,27.61285,0.5,2,on_off_m3,31
mock,scale1,self,self,PLPL,17.03704,0.8698846,116.0,15.31412,18.75995,0.5,3,on_off_m3,31
mock,scale1,self,self,ACPL,27.08571,0.7640284,116.0,25.57246,28.59897,0.5,3,on_off_m3,31
mock,scale1,self,self,PLAC,18.88,0.9040106,116.0,17.08949,20.67051,0.5,3,on_off_m3,31
mock,scale1,self,self,ACAC,25.36364,0.7868403,116.0,23.8052,26.92207,0.5,3,on_off_m3,31
