study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,18.96296,0.740037,116.0,17.49723,20.4287,0.5,0,on_off_m3,6
mock,scale1,self,self,ACPL,25.88571,0.649982,116.0,24.59834,27.17309,0.5,0,on_off_m3,6
mock,scale1,self,self,PLAC,18.92,0.7690691,116.0,17.39676,20.44324,0.5,0,on_off_m3,6
mock,scale1,self,self,ACAC,26.18182,0.6693887,116.0,24.85601,27.50763,0.5,0,on_off_m3,6
mock,scale1,self,self,PLPL,20.33333,0.7826215,116.0,18.78325,21.88341,0.5,1,on_off_m3,6
mock,scale1,self,self,ACPL,26.37143,0.6873843,116.0,25.00998,27.73288,0.5,1,on_off_m3,6
mock,scale1,self,self,PLAC,20.32,0.8133241,116.0,18.70911,21.93089,0.5,1,on_off_m3,6
mock,scale1,self,self,ACAC,26.09091,0.7079078,116.0,24.68881,27.49301,0.5,1,on_off_m3,6
mock,scale1,self,self,PLPL,19.66667,0.7180871,116.0,18.2444,21.08893,0.5,2,on_off_m3,6
mock,scale1,self,self,ACPL,25.85714,0.6307031,116.0,24.60796,27.10633,0.5,2,on_off_m3,6
mock,scale1,self,self,PLAC,21.4,0.746258,116.0,19.92194,22.87806,0.5,2,on_off_m3,6
mock,scale1,self,self,ACAC,25.90909,0.6495342,116.0,24.62261,27.19558,0.5,2,on_off_m3,6
mock,scale1,self,self,PLPL,20.7037,0.7730743,116.0,19.17253,22.23487,0.5,3,on_off_m3,6
mock,scale1,self,self,ACPL,26.74286,0.678999,116.0,25.39801,28.0877,0.5,3,on_off_m3,6
mock,scale1,self,self,PLAC,21.04,0.8034024,116.0,19.44876,22.63124,0.5,3,on_off_m3,6
mock,scale1,self,self,ACAC,26.27273,0.699272,116.0,24.88773,27.65772,0.5,3,on_off_m3,6
