study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.94230769230769,0.6076030545155443,32.82127623306329,3.618455608664804e-61,0.5,0,on_off_m3,19
mock,scale1,self,self,without_guess,conditionAC,6.469457013574662,0.8071534643678941,8.015151144325554,8.86676136893392e-13,0.5,0,on_off_m3,19
mock,scale1,self,self,with_guess,intercept,20.032258064516125,0.7934110514559315,25.248272037245222,5.9288833296645996e-49,0.5,0,on_off_m3,19
mock,scale1,self,self,with_guess,conditionAC,6.275434243176181,1.0629552027619409,5.903761726618714,3.6109937577691876e-08,0.5,0,on_off_m3,19
mock,scale1,self,self,with_guess,guessAC,-0.22273425499231822,1.2485049539685673,-0.17840077789385034,0.8587194320568904,0.5,0,on_off_m3,19
mock,scale1,self,self,with_guess,conditionAC:guessAC,0.46676608523104485,1.6528920871889565,0.2823935626825254,0.7781449956365508,0.5,0,on_off_m3,19
mock,scale1,self,self,without_guess,intercept,20.92307692307692,0.66744725841639,31.347910504149475,4.699342394392852e-59,0.5,1,on_off_m3,19
mock,scale1,self,self,without_guess,conditionAC,4.7092760180995485,0.8866518410497224,5.31130236251938,5.196952591208075e-07,0.5,1,on_off_m3,19
mock,scale1,self,self,with_guess,intercept,21.516129032258064,0.8660035807144189,24.845311857149717,2.871210500002283e-48,0.5,1,on_off_m3,19
mock,scale1,self,self,with_guess,conditionAC,3.7915632754342434,1.1602094652471457,3.267998916580612,0.0014252750125737731,0.5,1,on_off_m3,19
mock,scale1,self,self,with_guess,guessAC,-1.468509984639016,1.362735947139153,-1.0776188796677146,0.28343976038800134,0.5,1,on_off_m3,19
mock,scale1,self,self,with_guess,conditionAC:guessAC,2.2297831941880877,1.8041221677130506,1.2359380279743557,0.21897854410328754,0.5,1,on_off_m3,19
mock,scale1,self,self,without_guess,intercept,19.730769230769226,0.6131990281578285,32.17677837821167,2.975407517476575e-60,0.5,2,on_off_m3,19
mock,scale1,self,self,without_guess,conditionAC,5.78393665158371,0.8145872807029394,7.100450484069091,1.0075038872975636e-10,0.5,2,on_off_m3,19
mock,scale1,self,self,with_guess,intercept,20.0,0.799767821642162,25.007257680027728,1.519907902901843e-48,0.5,2,on_off_m3,19
mock,scale1,self,self,with_guess,conditionAC,5.384615384615386,1.0714715473853447,5.0254394507769975,1.8424914324170555e-06,0.5,2,on_off_m3,19
mock,scale1,self,self,with_guess,guessAC,-0.6666666666666664,1.2585079140410105,-0.5297278302573646,0.5973130640845699,0.5,2,on_off_m3,19
mock,scale1,self,self,with_guess,conditionAC:guessAC,0.9717064544650742,1.6661349770146257,0.5832099246881991,0.5608841412691179,0.5,2,on_off_m3,19
mock,scale1,self,self,without_guess,intercept,21.538461538461537,0.6460992400297236,33.3361505540088,6.884215253555982e-62,0.5,3,on_off_m3,19
mock,scale1,self,self,without_guess,conditionAC,5.152714932126697,0.8582926567596996,6.003447532196851,2.186675278468203e-08,0.5,3,on_off_m3,19
mock,scale1,self,self,with_guess,intercept,21.70967741935484,0.8419440012886775,25.78517975794834,7.445182032697788e-50,0.5,3,on_off_m3,19
mock,scale1,self,self,with_guess,conditionAC,4.649296939619521,1.1279761669083763,4.121804233118319,7.087798391723548e-05,0.5,3,on_off_m3,19
mock,scale1,self,self,with_guess,guessAC,-0.42396313364055177,1.3248759954176377,-0.32000212480784423,0.7495423806429355,0.5,3,on_off_m3,19
mock,scale1,self,self,with_guess,conditionAC:guessAC,1.2029198091489517,1.753999487444195,0.6858153709621443,0.4941979371951962,0.5,3,on_off_m3,19
