study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,19.07407,0.9076793,116.0,17.2763,20.87185,0.5,0,on_off_m3,24
mock,scale1,self,self,ACPL,27.85294,0.8088628,116.0,26.25089,29.455,0.5,0,on_off_m3,24
mock,scale1,self,self,PLAC,19.80769,0.92497,116.0,17.97567,21.63971,0.5,0,on_off_m3,24
mock,scale1,self,self,ACAC,28.51515,0.8210268,116.0,26.889,30.1413,0.5,0,on_off_m3,24
mock,scale1,self,self,PLPL,18.11111,0.8278264,116.0,16.4715,19.75073,0.5,1,on_off_m3,24
mock,scale1,self,self,ACPL,27.35294,0.7377032,116.0,25.89183,28.81406,0.5,1,on_off_m3,24
mock,scale1,self,self,PLAC,19.80769,0.8435959,116.0,18.13684,21.47854,0.5,1,on_off_m3,24
mock,scale1,self,self,ACAC,27.39394,0.7487971,116.0,25.91085,28.87703,0.5,1,on_off_m3,24
mock,scale1,self,self,PLPL,19.33333,0.7983569,116.0,17.75209,20.91458,0.5,2,on_off_m3,24
mock,scale1,self,self,ACPL,27.38235,0.711442,116.0,25.97325,28.79145,0.5,2,on_off_m3,24
mock,scale1,self,self,PLAC,19.57692,0.813565,116.0,17.96556,21.18829,0.5,2,on_off_m3,24
mock,scale1,self,self,ACAC,26.93939,0.722141,116.0,25.5091,28.36969,0.5,2,on_off_m3,24
mock,scale1,self,self,PLPL,16.74074,0.79871,116.0,15.15879,18.32269,0.5,3,on_off_m3,24
mock,scale1,self,self,ACPL,27.5,0.7117567,116.0,26.09028,28.90972,0.5,3,on_off_m3,24
mock,scale1,self,self,PLAC,19.38462,0.8139249,116.0,17.77253,20.9967,0.5,3,on_off_m3,24
mock,scale1,self,self,ACAC,27.45455,0.7224604,116.0,26.02362,28.88547,0.5,3,on_off_m3,24
