study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-8.471014,1.00151,116.0,-8.45824,9.357029e-14,6.027401e-13,0.5,0,off_on_m3,4
mock,scale1,self,self,ACPLvsACAC,fixCondition,-6.52381,1.111696,116.0,-5.86834,4.258247e-08,2.541162e-07,0.5,0,off_on_m3,4
mock,scale1,self,self,PLPLvsACPL,fixGuess,1.190476,1.283676,116.0,0.9273963,0.3556464,0.7902346,0.5,0,off_on_m3,4
mock,scale1,self,self,PLACvsACAC,fixGuess,3.137681,0.7688089,116.0,4.081224,8.260282e-05,0.0004745072,0.5,0,off_on_m3,4
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-5.693237,1.018691,116.0,-5.588779,1.537208e-07,9.154307e-07,0.5,1,off_on_m3,4
mock,scale1,self,self,ACPLvsACAC,fixCondition,-4.5,1.130766,116.0,-3.979602,0.0001206647,0.0006894574,0.5,1,off_on_m3,4
mock,scale1,self,self,PLPLvsACPL,fixGuess,1.468254,1.305696,116.0,1.124499,0.263123,0.675207,0.5,1,off_on_m3,4
mock,scale1,self,self,PLACvsACAC,fixGuess,2.661491,0.7819973,116.0,3.403453,0.0009141421,0.004997726,0.5,1,off_on_m3,4
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-5.306763,1.16947,116.0,-4.53775,1.396259e-05,8.164933e-05,0.5,2,off_on_m3,4
mock,scale1,self,self,ACPLvsACAC,fixCondition,-5.785714,1.298135,116.0,-4.456945,1.929211e-05,0.0001125299,0.5,2,off_on_m3,4
mock,scale1,self,self,PLPLvsACPL,fixGuess,1.246032,1.498957,116.0,0.831266,0.4075312,0.8395095,0.5,2,off_on_m3,4
mock,scale1,self,self,PLACvsACAC,fixGuess,0.7670807,0.8977433,116.0,0.8544545,0.3946144,0.828138,0.5,2,off_on_m3,4
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-5.041063,1.049862,116.0,-4.801645,4.738987e-06,2.79017e-05,0.5,3,off_on_m3,4
mock,scale1,self,self,ACPLvsACAC,fixCondition,-6.0,1.165367,116.0,-5.148594,1.084026e-06,6.422851e-06,0.5,3,off_on_m3,4
mock,scale1,self,self,PLPLvsACPL,fixGuess,1.825397,1.34565,116.0,1.356517,0.1775689,0.5291178,0.5,3,off_on_m3,4
mock,scale1,self,self,PLACvsACAC,fixGuess,0.8664596,0.8059258,116.0,1.075111,0.2845562,0.7053555,0.5,3,off_on_m3,4
