study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,2.616192,1.198409,116.0,2.183055,0.03104611,0.1340559,0.5,0,on_off_m3,3
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.3609416,1.045055,116.0,-0.3453806,0.7304338,0.9857712,0.5,0,on_off_m3,3
mock,scale1,self,self,PLPLvsACPL,fixGuess,-4.295933,1.181186,116.0,-3.636965,0.0004129225,0.002305733,0.5,0,on_off_m3,3
mock,scale1,self,self,PLACvsACAC,fixGuess,-7.273066,1.064482,116.0,-6.832493,4.091441e-10,2.450508e-09,0.5,0,on_off_m3,3
mock,scale1,self,self,PLPLvsPLAC,fixCondition,2.595202,1.223137,116.0,2.12176,0.03598601,0.1523052,0.5,1,on_off_m3,3
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.4437663,1.066618,116.0,-0.4160498,0.6781423,0.9756309,0.5,1,on_off_m3,3
mock,scale1,self,self,PLPLvsACPL,fixGuess,-5.053296,1.205559,116.0,-4.191663,5.433248e-05,0.0003137282,0.5,1,on_off_m3,3
mock,scale1,self,self,PLACvsACAC,fixGuess,-8.092265,1.086447,116.0,-7.448377,1.823304e-11,1.093329e-10,0.5,1,on_off_m3,3
mock,scale1,self,self,PLPLvsPLAC,fixCondition,2.242879,1.09481,116.0,2.048647,0.0427532,0.1764326,0.5,2,on_off_m3,3
mock,scale1,self,self,ACPLvsACAC,fixCondition,0.7837838,0.9547125,116.0,0.8209632,0.4133512,0.8444497,0.5,2,on_off_m3,3
mock,scale1,self,self,PLPLvsACPL,fixGuess,-4.826087,1.079076,116.0,-4.472426,1.813845e-05,0.0001058538,0.5,2,on_off_m3,3
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.285182,0.9724605,116.0,-6.463174,2.514111e-09,1.504372e-08,0.5,2,on_off_m3,3
mock,scale1,self,self,PLPLvsPLAC,fixCondition,1.307346,1.341044,116.0,0.9748721,0.3316523,0.7640027,0.5,3,on_off_m3,3
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.8029643,1.169437,116.0,-0.6866244,0.4936897,0.9020151,0.5,3,on_off_m3,3
mock,scale1,self,self,PLPLvsACPL,fixGuess,-2.896213,1.321771,116.0,-2.19116,0.03043914,0.1317736,0.5,3,on_off_m3,3
mock,scale1,self,self,PLACvsACAC,fixGuess,-5.006524,1.191177,116.0,-4.203005,5.2023e-05,0.0003005419,0.5,3,on_off_m3,3
