study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,19.6875,1.027316,116.0,17.65277,21.72223,0.5,0,off_on_m3,6
mock,scale1,self,self,ACPL,19.94118,0.9966431,116.0,17.9672,21.91515,0.5,0,off_on_m3,6
mock,scale1,self,self,PLAC,24.65116,0.626657,116.0,23.40999,25.89234,0.5,0,off_on_m3,6
mock,scale1,self,self,ACAC,25.40909,0.619495,116.0,24.1821,26.63608,0.5,0,off_on_m3,6
mock,scale1,self,self,PLPL,21.125,1.190406,116.0,18.76725,23.48275,0.5,1,off_on_m3,6
mock,scale1,self,self,ACPL,20.82353,1.154864,116.0,18.53618,23.11088,0.5,1,off_on_m3,6
mock,scale1,self,self,PLAC,23.23256,0.7261411,116.0,21.79434,24.67077,0.5,1,off_on_m3,6
mock,scale1,self,self,ACAC,23.63636,0.717842,116.0,22.21459,25.05814,0.5,1,off_on_m3,6
mock,scale1,self,self,PLPL,20.875,1.123742,116.0,18.64929,23.10071,0.5,2,off_on_m3,6
mock,scale1,self,self,ACPL,18.52941,1.09019,116.0,16.37015,20.68867,0.5,2,off_on_m3,6
mock,scale1,self,self,PLAC,24.44186,0.6854761,116.0,23.08419,25.79953,0.5,2,off_on_m3,6
mock,scale1,self,self,ACAC,24.29545,0.6776419,116.0,22.9533,25.63761,0.5,2,off_on_m3,6
mock,scale1,self,self,PLPL,18.625,1.135544,116.0,16.37591,20.87409,0.5,3,off_on_m3,6
mock,scale1,self,self,ACPL,20.05882,1.101639,116.0,17.87689,22.24076,0.5,3,off_on_m3,6
mock,scale1,self,self,PLAC,25.0,0.6926751,116.0,23.62807,26.37193,0.5,3,off_on_m3,6
mock,scale1,self,self,ACAC,23.81818,0.6847586,116.0,22.46193,25.17443,0.5,3,off_on_m3,6
