study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,0.4128571,1.166782,116.0,0.3538426,0.7240992,0.9847339,0.5,0,on_off_m3,21
mock,scale1,self,self,ACPLvsACAC,fixCondition,1.85625,1.03712,116.0,1.789811,0.07609328,0.2834505,0.5,0,on_off_m3,21
mock,scale1,self,self,PLPLvsACPL,fixGuess,-8.13625,1.131861,116.0,-7.18838,6.857999e-11,4.110167e-10,0.5,0,on_off_m3,21
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.692857,1.075123,116.0,-6.225203,7.916093e-09,4.732706e-08,0.5,0,on_off_m3,21
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.8714286,1.27299,116.0,-0.6845528,0.4949916,0.9027977,0.5,1,on_off_m3,21
mock,scale1,self,self,ACPLvsACAC,fixCondition,0.8125,1.131525,116.0,0.7180572,0.4741657,0.8897374,0.5,1,on_off_m3,21
mock,scale1,self,self,PLPLvsACPL,fixGuess,-7.6125,1.23489,116.0,-6.164515,1.0573e-08,6.319515e-08,0.5,1,on_off_m3,21
mock,scale1,self,self,PLACvsACAC,fixGuess,-5.928571,1.172987,116.0,-5.054252,1.628532e-06,9.634841e-06,0.5,1,on_off_m3,21
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.8871429,1.231243,116.0,-0.7205261,0.4726506,0.8887412,0.5,2,on_off_m3,21
mock,scale1,self,self,ACPLvsACAC,fixCondition,0.3910714,1.094418,116.0,0.3573327,0.721492,0.9842926,0.5,2,on_off_m3,21
mock,scale1,self,self,PLPLvsACPL,fixGuess,-8.8425,1.194393,116.0,-7.40334,2.296174e-11,1.376734e-10,0.5,2,on_off_m3,21
mock,scale1,self,self,PLACvsACAC,fixGuess,-7.564286,1.13452,116.0,-6.667388,9.259437e-10,5.54373e-09,0.5,2,on_off_m3,21
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.1214286,1.075348,116.0,-0.1129203,0.9102889,0.9994821,0.5,3,on_off_m3,21
mock,scale1,self,self,ACPLvsACAC,fixCondition,1.185714,0.955847,116.0,1.240486,0.217299,0.6025099,0.5,3,on_off_m3,21
mock,scale1,self,self,PLPLvsACPL,fixGuess,-6.3,1.043164,116.0,-6.039321,1.912816e-08,1.142612e-07,0.5,3,on_off_m3,21
mock,scale1,self,self,PLACvsACAC,fixGuess,-4.992857,0.9908712,116.0,-5.038856,1.739661e-06,1.028967e-05,0.5,3,on_off_m3,21
