study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,0.2484472,1.063105,116.0,0.2336996,0.8156301,0.9954818,0.5,0,on_off_m3,17
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.9425676,0.9119745,116.0,-1.033546,0.3034984,0.7301459,0.5,0,on_off_m3,17
mock,scale1,self,self,PLPLvsACPL,fixGuess,-6.233696,1.032705,116.0,-6.036277,1.940457e-08,1.159105e-07,0.5,0,on_off_m3,17
mock,scale1,self,self,PLACvsACAC,fixGuess,-7.42471,0.9462607,116.0,-7.846369,2.332754e-12,1.4027e-11,0.5,0,on_off_m3,17
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.3649068,1.011701,116.0,-0.3606865,0.7189898,0.9838609,0.5,1,on_off_m3,17
mock,scale1,self,self,ACPLvsACAC,fixCondition,-1.197635,0.8678779,116.0,-1.379958,0.1702535,0.5144187,0.5,1,on_off_m3,17
mock,scale1,self,self,PLPLvsACPL,fixGuess,-5.980978,0.982771,116.0,-6.085831,1.535713e-08,9.17565e-08,0.5,1,on_off_m3,17
mock,scale1,self,self,PLACvsACAC,fixGuess,-6.813707,0.9005062,116.0,-7.566529,9.936267e-12,5.960488e-11,0.5,1,on_off_m3,17
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.6661491,1.083706,116.0,-0.6146951,0.53996,0.9272182,0.5,2,on_off_m3,17
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.3285473,0.9296473,116.0,-0.3534107,0.724422,0.984788,0.5,2,on_off_m3,17
mock,scale1,self,self,PLPLvsACPL,fixGuess,-6.099185,1.052718,116.0,-5.793751,6.016108e-08,3.588421e-07,0.5,2,on_off_m3,17
mock,scale1,self,self,PLACvsACAC,fixGuess,-5.761583,0.9645979,116.0,-5.973041,2.612e-08,1.559712e-07,0.5,2,on_off_m3,17
mock,scale1,self,self,PLPLvsPLAC,fixCondition,0.9875776,1.168186,116.0,0.8453939,0.3996313,0.8326223,0.5,3,on_off_m3,17
mock,scale1,self,self,ACPLvsACAC,fixCondition,-1.532939,1.002118,116.0,-1.5297,0.1288135,0.4231926,0.5,3,on_off_m3,17
mock,scale1,self,self,PLPLvsACPL,fixGuess,-5.525815,1.134782,116.0,-4.869495,3.568275e-06,2.103924e-05,0.5,3,on_off_m3,17
mock,scale1,self,self,PLACvsACAC,fixGuess,-8.046332,1.039793,116.0,-7.7384,4.087671e-12,2.454703e-11,0.5,3,on_off_m3,17
