study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,1.872593,1.299798,116.0,1.44068,0.1523689,0.476776,0.5,0,on_off_m3,20
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.6,1.136291,116.0,-0.5280339,0.5984845,0.9521276,0.5,0,on_off_m3,20
mock,scale1,self,self,PLPLvsACPL,fixGuess,-6.72,1.24169,116.0,-5.411981,3.403873e-07,2.023555e-06,0.5,0,on_off_m3,20
mock,scale1,self,self,PLACvsACAC,fixGuess,-9.192593,1.199516,116.0,-7.663586,6.021497e-12,3.613931e-11,0.5,0,on_off_m3,20
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.7496296,1.285208,116.0,-0.583275,0.5608405,0.9369407,0.5,1,on_off_m3,20
mock,scale1,self,self,ACPLvsACAC,fixCondition,-1.613853,1.123536,116.0,-1.436405,0.1535787,0.4794016,0.5,1,on_off_m3,20
mock,scale1,self,self,PLPLvsACPL,fixGuess,-7.877576,1.227752,116.0,-6.41626,3.156698e-09,1.888594e-08,0.5,1,on_off_m3,20
mock,scale1,self,self,PLACvsACAC,fixGuess,-8.741799,1.186051,116.0,-7.370506,2.715757e-11,1.628192e-10,0.5,1,on_off_m3,20
mock,scale1,self,self,PLPLvsPLAC,fixCondition,0.9422222,1.28171,116.0,0.7351291,0.4637445,0.8827553,0.5,2,on_off_m3,20
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.2017316,1.120478,116.0,-0.1800406,0.8574348,0.9979165,0.5,2,on_off_m3,20
mock,scale1,self,self,PLPLvsACPL,fixGuess,-6.249697,1.22441,116.0,-5.104251,1.313261e-06,7.77584e-06,0.5,2,on_off_m3,20
mock,scale1,self,self,PLACvsACAC,fixGuess,-7.393651,1.182823,116.0,-6.25085,7.002074e-09,4.186688e-08,0.5,2,on_off_m3,20
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.008888889,1.218809,116.0,-0.007293097,0.9941935,0.9999999,0.5,3,on_off_m3,20
mock,scale1,self,self,ACPLvsACAC,fixCondition,-1.038095,1.065489,116.0,-0.9742895,0.3319401,0.7643313,0.5,3,on_off_m3,20
mock,scale1,self,self,PLPLvsACPL,fixGuess,-6.453333,1.164321,116.0,-5.542573,1.894643e-07,1.127817e-06,0.5,3,on_off_m3,20
mock,scale1,self,self,PLACvsACAC,fixGuess,-7.48254,1.124775,116.0,-6.652477,9.964321e-10,5.96553e-09,0.5,3,on_off_m3,20
