study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,21.58621,0.8324126,116.0,19.93751,23.2349,0.5,0,on_off_m3,15
mock,scale1,self,self,ACPL,27.43243,0.7369479,116.0,25.97281,28.89205,0.5,0,on_off_m3,15
mock,scale1,self,self,PLAC,20.52174,0.9347031,116.0,18.67044,22.37304,0.5,0,on_off_m3,15
mock,scale1,self,self,ACAC,26.64516,0.8051129,116.0,25.05053,28.23979,0.5,0,on_off_m3,15
mock,scale1,self,self,PLPL,20.93103,0.8140953,116.0,19.31862,22.54345,0.5,1,on_off_m3,15
mock,scale1,self,self,ACPL,27.35135,0.7207313,116.0,25.92385,28.77885,0.5,1,on_off_m3,15
mock,scale1,self,self,PLAC,20.43478,0.914135,116.0,18.62422,22.24534,0.5,1,on_off_m3,15
mock,scale1,self,self,ACAC,26.58065,0.7873964,116.0,25.02111,28.14018,0.5,1,on_off_m3,15
mock,scale1,self,self,PLPL,19.68966,0.8627198,116.0,17.98093,21.39838,0.5,2,on_off_m3,15
mock,scale1,self,self,ACPL,25.72973,0.7637793,116.0,24.21697,27.24249,0.5,2,on_off_m3,15
mock,scale1,self,self,PLAC,19.82609,0.9687347,116.0,17.90739,21.74479,0.5,2,on_off_m3,15
mock,scale1,self,self,ACAC,26.03226,0.8344262,116.0,24.37957,27.68494,0.5,2,on_off_m3,15
mock,scale1,self,self,PLPL,18.86207,0.884201,116.0,17.1108,20.61334,0.5,3,on_off_m3,15
mock,scale1,self,self,ACPL,27.72973,0.782797,116.0,26.1793,29.28016,0.5,3,on_off_m3,15
mock,scale1,self,self,PLAC,19.78261,0.9928556,116.0,17.81613,21.74908,0.5,3,on_off_m3,15
mock,scale1,self,self,ACAC,26.3871,0.8552029,116.0,24.69326,28.08093,0.5,3,on_off_m3,15
