study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,18.83333,0.912,116.0,17.027,20.63966,0.5,0,off_on_m3,9
mock,scale1,self,self,ACPL,18.25,1.116967,116.0,16.03771,20.46229,0.5,0,off_on_m3,9
mock,scale1,self,self,PLAC,25.5625,0.5584837,116.0,24.45635,26.66865,0.5,0,off_on_m3,9
mock,scale1,self,self,ACAC,25.59524,0.5970442,116.0,24.41272,26.77776,0.5,0,off_on_m3,9
mock,scale1,self,self,PLPL,18.55556,1.058868,116.0,16.45834,20.65278,0.5,1,off_on_m3,9
mock,scale1,self,self,ACPL,20.66667,1.296843,116.0,18.09811,23.23523,0.5,1,off_on_m3,9
mock,scale1,self,self,PLAC,24.64583,0.6484213,116.0,23.36155,25.93011,0.5,1,off_on_m3,9
mock,scale1,self,self,ACAC,25.30952,0.6931915,116.0,23.93657,26.68248,0.5,1,off_on_m3,9
mock,scale1,self,self,PLPL,19.66667,0.9621971,116.0,17.76091,21.57242,0.5,2,off_on_m3,9
mock,scale1,self,self,ACPL,17.41667,1.178446,116.0,15.08261,19.75073,0.5,2,off_on_m3,9
mock,scale1,self,self,PLAC,24.70833,0.589223,116.0,23.5413,25.87536,0.5,2,off_on_m3,9
mock,scale1,self,self,ACAC,24.57143,0.6299059,116.0,23.32382,25.81904,0.5,2,off_on_m3,9
mock,scale1,self,self,PLPL,18.72222,0.9409093,116.0,16.85863,20.58581,0.5,3,off_on_m3,9
mock,scale1,self,self,ACPL,19.41667,1.152374,116.0,17.13425,21.69909,0.5,3,off_on_m3,9
mock,scale1,self,self,PLAC,23.83333,0.5761869,116.0,22.69212,24.97454,0.5,3,off_on_m3,9
mock,scale1,self,self,ACAC,24.66667,0.6159697,116.0,23.44666,25.88667,0.5,3,off_on_m3,9
