study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,60.07985803341333,0.3317604735642148,3.5395173171618053e-12,0.5,0,on_off_m3,30
mock,scale1,self,self,with_guess,3.0,116.0,23.517227881332424,0.3621070704079432,5.8070734853520185e-12,0.5,0,on_off_m3,30
mock,scale1,self,self,without_guess,1.0,118.0,88.69192916483823,0.4242639251526038,4.797984531132705e-16,0.5,1,on_off_m3,30
mock,scale1,self,self,with_guess,3.0,116.0,31.383481790994047,0.43373900641136043,6.293300125136148e-15,0.5,1,on_off_m3,30
mock,scale1,self,self,without_guess,1.0,118.0,50.37311678805793,0.29323634158419154,1.0231902328839125e-10,0.5,2,on_off_m3,30
mock,scale1,self,self,with_guess,3.0,116.0,16.905162819358477,0.2862090913051225,3.5537753459543633e-09,0.5,2,on_off_m3,30
mock,scale1,self,self,without_guess,1.0,118.0,99.02191021186033,0.45166826757800516,2.621680517464532e-17,0.5,3,on_off_m3,30
mock,scale1,self,self,with_guess,3.0,116.0,32.9958809294986,0.44647981411158655,1.703634248077018e-15,0.5,3,on_off_m3,30
