study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,55.30190553451128,0.3133370366992164,1.8085929758624776e-11,0.5,0,on_off_m3,3
mock,scale1,self,self,with_guess,3.0,116.0,20.513003954560638,0.3297247813265365,9.844474134039154e-11,0.5,0,on_off_m3,3
mock,scale1,self,self,without_guess,1.0,118.0,68.25134962358388,0.3610784553212615,2.410988868480716e-13,0.5,1,on_off_m3,3
mock,scale1,self,self,with_guess,3.0,116.0,24.824504007477934,0.37524121471554384,1.765331016284087e-12,0.5,1,on_off_m3,3
mock,scale1,self,self,without_guess,1.0,118.0,59.73899092928419,0.33047892655503064,3.970262446443784e-12,0.5,2,on_off_m3,3
mock,scale1,self,self,with_guess,3.0,116.0,22.021124561650886,0.346381440750841,2.337808202331261e-11,0.5,2,on_off_m3,3
mock,scale1,self,self,without_guess,1.0,118.0,21.18273246992759,0.14500888229284015,1.059559242559675e-05,0.5,3,on_off_m3,3
mock,scale1,self,self,with_guess,3.0,116.0,7.500256992030479,0.14079900666731837,0.00012432041790768592,0.5,3,on_off_m3,3
