study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,102.91285956381371,0.46132606207279114,9.096986558753356e-18,0.5,0,on_off_m3,24
mock,scale1,self,self,with_guess,3.0,116.0,34.12885491077487,0.4550946843004845,6.918973410526069e-16,0.5,0,on_off_m3,24
mock,scale1,self,self,without_guess,1.0,118.0,113.58662215040908,0.48615339308022376,5.483184018241049e-19,0.5,1,on_off_m3,24
mock,scale1,self,self,with_guess,3.0,116.0,38.569434823748736,0.48642324118871927,2.3002093039975185e-17,0.5,1,on_off_m3,24
mock,scale1,self,self,without_guess,1.0,118.0,103.80334270803685,0.46348869883065047,7.159060073199784e-18,0.5,2,on_off_m3,24
mock,scale1,self,self,with_guess,3.0,116.0,34.16290246629222,0.4553494255300271,6.735565236016655e-16,0.5,2,on_off_m3,24
mock,scale1,self,self,without_guess,1.0,118.0,148.83482770073348,0.5540312296359473,1.2071292641992388e-22,0.5,3,on_off_m3,24
mock,scale1,self,self,with_guess,3.0,116.0,52.82397576329039,0.566440177780646,1.3367222828192796e-21,0.5,3,on_off_m3,24
