study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.7336182,1.295936,116.0,-0.5660912,0.5724253,0.9419249,0.5,0,on_off_m3,24
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.6622103,1.152538,116.0,-0.574567,0.5666968,0.9394959,0.5,0,on_off_m3,24
mock,scale1,self,self,PLPLvsACPL,fixGuess,-8.778867,1.215788,116.0,-7.220721,5.821141e-11,3.488966e-10,0.5,0,on_off_m3,24
mock,scale1,self,self,PLACvsACAC,fixGuess,-8.707459,1.236792,116.0,-7.040359,1.447353e-10,8.672129e-10,0.5,0,on_off_m3,24
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-1.696581,1.181927,116.0,-1.435437,0.1538536,0.4799966,0.5,1,on_off_m3,24
mock,scale1,self,self,ACPLvsACAC,fixCondition,-0.04099822,1.051144,116.0,-0.03900344,0.9689547,0.9999786,0.5,1,on_off_m3,24
mock,scale1,self,self,PLPLvsACPL,fixGuess,-9.24183,1.108829,116.0,-8.334763,1.798851e-13,1.120326e-12,0.5,1,on_off_m3,24
mock,scale1,self,self,PLACvsACAC,fixGuess,-7.586247,1.127985,116.0,-6.725483,6.952933e-10,4.163379e-09,0.5,1,on_off_m3,24
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-0.2435897,1.139852,116.0,-0.213703,0.8311538,0.9965333,0.5,2,on_off_m3,24
mock,scale1,self,self,ACPLvsACAC,fixCondition,0.442959,1.013724,116.0,0.4369619,0.6629513,0.9719584,0.5,2,on_off_m3,24
mock,scale1,self,self,PLPLvsACPL,fixGuess,-8.04902,1.069357,116.0,-7.526975,1.217942e-11,7.305101e-11,0.5,2,on_off_m3,24
mock,scale1,self,self,PLACvsACAC,fixGuess,-7.362471,1.087831,116.0,-6.76803,5.633463e-10,3.373613e-09,0.5,2,on_off_m3,24
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-2.643875,1.140356,116.0,-2.318465,0.02217577,0.09973464,0.5,3,on_off_m3,24
mock,scale1,self,self,ACPLvsACAC,fixCondition,0.04545455,1.014173,116.0,0.04481933,0.9643284,0.9999675,0.5,3,on_off_m3,24
mock,scale1,self,self,PLPLvsACPL,fixGuess,-10.75926,1.06983,116.0,-10.05698,1.729288e-17,3.808065e-14,0.5,3,on_off_m3,24
mock,scale1,self,self,PLACvsACAC,fixGuess,-8.06993,1.088312,116.0,-7.415089,2.162207e-11,1.296445e-10,0.5,3,on_off_m3,24
