study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,1.9978901891402034,0.008315897784263893,0.16015095708322882,0.5,0,off_on_m3,5
mock,scale1,self,self,with_guess,3.0,116.0,17.330965033348654,0.2916367092243328,2.3012842002725385e-09,0.5,0,off_on_m3,5
mock,scale1,self,self,without_guess,1.0,118.0,0.9575790346008306,-0.00035660582321384027,0.3297995746832765,0.5,1,off_on_m3,5
mock,scale1,self,self,with_guess,3.0,116.0,30.737075225087793,0.4284650137663647,1.0714769562968869e-14,0.5,1,off_on_m3,5
mock,scale1,self,self,without_guess,1.0,118.0,0.7990950665677883,-0.0016911318501173778,0.37318368695659787,0.5,2,off_on_m3,5
mock,scale1,self,self,with_guess,3.0,116.0,21.521650198437307,0.3409573695910303,3.749167572515377e-11,0.5,2,off_on_m3,5
mock,scale1,self,self,without_guess,1.0,118.0,0.40648777774141964,-0.0050124974855487725,0.5249927642274792,0.5,3,off_on_m3,5
mock,scale1,self,self,with_guess,3.0,116.0,25.056188372361703,0.37751272063418995,1.4330181819120297e-12,0.5,3,off_on_m3,5
