study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-4.963663,1.203361,116.0,-4.124833,7.006999e-05,0.0004033663,0.5,0,off_on_m3,6
mock,scale1,self,self,ACPLvsACAC,fixCondition,-5.467914,1.173487,116.0,-4.659545,8.518968e-06,4.99862e-05,0.5,0,off_on_m3,6
mock,scale1,self,self,PLPLvsACPL,fixGuess,-0.2536765,1.43132,116.0,-0.1772326,0.8596348,0.9980117,0.5,0,off_on_m3,6
mock,scale1,self,self,PLACvsACAC,fixGuess,-0.7579281,0.881177,116.0,-0.8601315,0.3914908,0.825302,0.5,0,off_on_m3,6
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-2.107558,1.394399,116.0,-1.511446,0.1333944,0.433993,0.5,1,off_on_m3,6
mock,scale1,self,self,ACPLvsACAC,fixCondition,-2.812834,1.359782,116.0,-2.068592,0.04080685,0.1695907,0.5,1,off_on_m3,6
mock,scale1,self,self,PLPLvsACPL,fixGuess,0.3014706,1.658547,116.0,0.1817679,0.8560821,0.9978564,0.5,1,off_on_m3,6
mock,scale1,self,self,PLACvsACAC,fixGuess,-0.4038055,1.021067,116.0,-0.395474,0.6932195,0.9789377,0.5,1,off_on_m3,6
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-3.56686,1.31631,116.0,-2.709741,0.007754978,0.03830882,0.5,2,off_on_m3,6
mock,scale1,self,self,ACPLvsACAC,fixCondition,-5.766043,1.283632,116.0,-4.491973,1.67766e-05,9.796716e-05,0.5,2,off_on_m3,6
mock,scale1,self,self,PLPLvsACPL,fixGuess,2.345588,1.565666,116.0,1.498141,0.136813,0.4419301,0.5,2,off_on_m3,6
mock,scale1,self,self,PLACvsACAC,fixGuess,0.1464059,0.9638859,116.0,0.1518913,0.8795365,0.9987444,0.5,2,off_on_m3,6
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-6.375,1.330135,116.0,-4.792748,4.917755e-06,2.894851e-05,0.5,3,off_on_m3,6
mock,scale1,self,self,ACPLvsACAC,fixCondition,-3.759358,1.297113,116.0,-2.89825,0.004488072,0.02295011,0.5,3,off_on_m3,6
mock,scale1,self,self,PLPLvsACPL,fixGuess,-1.433824,1.582109,116.0,-0.9062737,0.3666697,0.8015267,0.5,3,off_on_m3,6
mock,scale1,self,self,PLACvsACAC,fixGuess,1.181818,0.9740088,116.0,1.213355,0.2274591,0.6196637,0.5,3,off_on_m3,6
