study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,19.11765,1.307971,116.0,16.52705,21.70825,0.5,0,off_on_m3,1
mock,scale1,self,self,ACPL,14.54545,1.626021,116.0,11.32491,17.76599,0.5,0,off_on_m3,1
mock,scale1,self,self,PLAC,24.77551,0.7704146,116.0,23.24961,26.30141,0.5,0,off_on_m3,1
mock,scale1,self,self,ACAC,25.27907,0.8224099,116.0,23.65018,26.90796,0.5,0,off_on_m3,1
mock,scale1,self,self,PLPL,19.41176,1.185057,116.0,17.06461,21.75892,0.5,1,off_on_m3,1
mock,scale1,self,self,ACPL,16.09091,1.473219,116.0,13.17301,19.00881,0.5,1,off_on_m3,1
mock,scale1,self,self,PLAC,23.91837,0.6980164,116.0,22.53586,25.30088,0.5,1,off_on_m3,1
mock,scale1,self,self,ACAC,24.53488,0.7451256,116.0,23.05907,26.0107,0.5,1,off_on_m3,1
mock,scale1,self,self,PLPL,19.58824,1.057691,116.0,17.49335,21.68313,0.5,2,off_on_m3,1
mock,scale1,self,self,ACPL,14.72727,1.314882,116.0,12.12298,17.33156,0.5,2,off_on_m3,1
mock,scale1,self,self,PLAC,25.55102,0.6229959,116.0,24.3171,26.78494,0.5,2,off_on_m3,1
mock,scale1,self,self,ACAC,26.23256,0.6650419,116.0,24.91536,27.54976,0.5,2,off_on_m3,1
mock,scale1,self,self,PLPL,18.88235,1.089098,116.0,16.72526,21.03945,0.5,3,off_on_m3,1
mock,scale1,self,self,ACPL,16.54545,1.353926,116.0,13.86383,19.22708,0.5,3,off_on_m3,1
mock,scale1,self,self,PLAC,25.20408,0.641495,116.0,23.93352,26.47464,0.5,3,off_on_m3,1
mock,scale1,self,self,ACAC,25.55814,0.6847895,116.0,24.20183,26.91445,0.5,3,off_on_m3,1
