study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id,model_name,trial_id
mock,scale1,self,self,PLPL,22.6,0.9076808,116.0,20.80222,24.39778,0.5,0,on_off_m3,29
mock,scale1,self,self,ACPL,26.75758,0.7900347,116.0,25.19281,28.32234,0.5,0,on_off_m3,29
mock,scale1,self,self,PLAC,20.40741,0.8734163,116.0,18.6775,22.13732,0.5,0,on_off_m3,29
mock,scale1,self,self,ACAC,27.45714,0.7671303,116.0,25.93774,28.97654,0.5,0,on_off_m3,29
mock,scale1,self,self,PLPL,23.08,0.960517,116.0,21.17757,24.98243,0.5,1,on_off_m3,29
mock,scale1,self,self,ACPL,25.90909,0.8360228,116.0,24.25324,27.56494,0.5,1,on_off_m3,29
mock,scale1,self,self,PLAC,21.55556,0.924258,116.0,19.72495,23.38616,0.5,1,on_off_m3,29
mock,scale1,self,self,ACAC,28.14286,0.8117851,116.0,26.53501,29.7507,0.5,1,on_off_m3,29
mock,scale1,self,self,PLPL,22.2,0.9959949,116.0,20.22731,24.17269,0.5,2,on_off_m3,29
mock,scale1,self,self,ACPL,26.0,0.8669023,116.0,24.28299,27.71701,0.5,2,on_off_m3,29
mock,scale1,self,self,PLAC,20.81481,0.9583965,116.0,18.91659,22.71304,0.5,2,on_off_m3,29
mock,scale1,self,self,ACAC,27.08571,0.8417693,116.0,25.41848,28.75294,0.5,2,on_off_m3,29
mock,scale1,self,self,PLPL,22.24,0.9393676,116.0,20.37946,24.10054,0.5,3,on_off_m3,29
mock,scale1,self,self,ACPL,26.24242,0.8176145,116.0,24.62304,27.86181,0.5,3,on_off_m3,29
mock,scale1,self,self,PLAC,18.7037,0.9039069,116.0,16.9134,20.49401,0.5,3,on_off_m3,29
mock,scale1,self,self,ACAC,27.48571,0.7939105,116.0,25.91327,29.05815,0.5,3,on_off_m3,29
