trial,scale,model_type,df1,df2,f,adjr2,p,cgr,cgr_sim_id
sbmd,PANAS,without_guess,1.0,231.0,2.9328001364777063,0.008262202373288896,0.08813870872462148,0.5,0
sbmd,PANAS,with_guess,3.0,229.0,14.08688837016763,0.1447340884993753,1.852572360824607e-08,0.5,0
sbmd,PANAS,without_guess,1.0,231.0,0.00011922245134282823,-0.0043284859805019504,0.9912975726983966,0.5,1
sbmd,PANAS,with_guess,3.0,229.0,16.002476124494503,0.16247733368652095,1.767205318188005e-09,0.5,1
