trial,scale,model_type,component,est,se,t,p,cgr,cgr_sim_id
sbmd,PANAS,without_guess,intercept,12.850746268656717,0.9449370794079187,13.599578795985838,2.4630285740536255e-31,0.5,0
sbmd,PANAS,without_guess,conditionAC,2.4825870646766175,1.4496503151363338,1.712542010135141,0.08813870872462129,0.5,0
sbmd,PANAS,with_guess,intercept,9.265822784810123,1.1428622641822812,8.107558605445623,3.109588905851167e-14,0.5,0
sbmd,PANAS,with_guess,conditionAC,3.024499795835038,1.7234853838611681,1.7548740616872387,0.08061816328066171,0.5,0
sbmd,PANAS,with_guess,guessAC,8.734177215189876,1.783877170432721,4.89617635112803,1.845340796801684e-06,0.5,0
sbmd,PANAS,with_guess,conditionAC:guessAC,-0.592067363402607,2.7631971333931107,-0.2142689554239544,0.8305279959820993,0.5,0
sbmd,PANAS,without_guess,intercept,14.611940298507465,0.8550159594450095,17.089669657151276,7.0718509329228605e-43,0.5,1
sbmd,PANAS,without_guess,conditionAC,0.014322327755163464,1.3117001989515387,0.010918903394702167,0.9912975726983962,0.5,1
sbmd,PANAS,with_guess,intercept,10.822784810126581,1.0168888116322827,10.643036570295367,9.402966792314068e-22,0.5,1
sbmd,PANAS,with_guess,conditionAC,1.161086157615353,1.5335120064657777,0.7571418761117239,0.4497431878788085,0.5,1
sbmd,PANAS,with_guess,guessAC,9.231760644418872,1.587247031239771,5.816209110946079,2.0115783190469844e-08,0.5,1
sbmd,PANAS,with_guess,conditionAC:guessAC,-2.161577558106753,2.45862020065236,-0.8791831928872988,0.38022356224025256,0.5,1
