study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,18.86538461538462,0.6347869039189905,29.719240423699983,1.2626544595356565e-56,on_off_m3,31
mock,scale1,self,self,without_guess,conditionAC,7.546380090497736,0.8432650968848524,8.949000875733141,6.072859567548807e-15,on_off_m3,31
mock,scale1,self,self,with_guess,intercept,18.499999999999993,0.8955243532197433,20.658288000192968,1.1247995834135644e-40,on_off_m3,31
mock,scale1,self,self,with_guess,conditionAC,8.694444444444446,1.1752276347702655,7.398093941301886,2.3586147064108535e-11,on_off_m3,31
mock,scale1,self,self,with_guess,guessAC,0.7307692307692327,1.266462685758755,0.5770159981708572,0.5650467887502026,on_off_m3,31
mock,scale1,self,self,with_guess,conditionAC:guessAC,-2.3939636752136777,1.6836625264123404,-1.4218785758182158,0.15774467407461645,on_off_m3,31
