study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,20.096153846153843,0.6353291867237618,31.63108867984615,1.8188075206230403e-59,on_off_m3,14
mock,scale1,self,self,without_guess,conditionAC,6.668552036199096,0.8439854774709693,7.901263960348744,1.6134982168288215e-12,on_off_m3,14
mock,scale1,self,self,with_guess,intercept,20.423076923076913,0.9016630350856133,22.650453804106245,2.1247693683898654e-44,on_off_m3,14
mock,scale1,self,self,with_guess,conditionAC,6.813765182186238,1.1701524714613185,5.822972089848275,5.25572273276564e-08,on_off_m3,14
mock,scale1,self,self,with_guess,guessAC,-0.6538461538461521,1.2751440929085622,-0.512762563448614,0.6090924817807197,on_off_m3,14
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.4163292847503389,1.699073208242656,-0.24503316439257286,0.8068637023036096,on_off_m3,14
