study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,20.0,0.6114774960072712,32.70766321016362,5.233266117088089e-61,on_off_m3,18
mock,scale1,self,self,without_guess,conditionAC,7.397058823529411,0.8123003589552353,9.106309928316863,2.5959381240657533e-15,on_off_m3,18
mock,scale1,self,self,with_guess,intercept,19.89655172413793,0.8212989853648366,24.22571082965542,3.3611609074882417e-47,on_off_m3,18
mock,scale1,self,self,with_guess,conditionAC,8.049394221808017,1.096913526634971,7.3382213149484485,3.202226187363982e-11,on_off_m3,18
mock,scale1,self,self,with_guess,guessAC,0.2338830584707667,1.23492061379754,0.18939116883922294,0.8501172336576756,on_off_m3,18
mock,scale1,self,self,with_guess,conditionAC:guessAC,-1.4378935205457448,1.6385145749248902,-0.8775591883957811,0.3819969119197657,on_off_m3,18
