study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,6.782127168330771,0.04633778329913152,0.010390845425454261,off_on_m3,11
mock,scale1,self,self,with_guess,3.0,116.0,17.91622581658886,0.29896361027486973,1.2728341024568105e-09,off_on_m3,11
