study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.788461538461533,0.586630470203626,33.73241340769895,1.9467747660417e-62,on_off_m3,16
mock,scale1,self,self,without_guess,conditionAC,7.740950226244344,0.7792930150855748,9.933298613480199,2.88747722206285e-17,on_off_m3,16
mock,scale1,self,self,with_guess,intercept,20.269230769230766,0.8266085611221502,24.520954321734308,1.0353563420541348e-47,on_off_m3,16
mock,scale1,self,self,with_guess,conditionAC,8.08560794044665,1.1208731858180725,7.213668809951365,6.033117134973495e-11,on_off_m3,16
mock,scale1,self,self,with_guess,guessAC,-0.9615384615384607,1.1690010379126545,-0.8225300323559721,0.41246290665760543,on_off_m3,16
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.555462410301121,1.555564951605682,-0.35708082116903106,0.7216800811092794,on_off_m3,16
