study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-6.720238,1.197281,116.0,-5.612918,1.377668e-07,8.205939e-07,off_on_m3,11
mock,scale1,self,self,ACPLvsACAC,fixCondition,-5.317241,1.473735,116.0,-3.608004,0.0004565912,0.002543584,off_on_m3,11
mock,scale1,self,self,PLPLvsACPL,fixGuess,-1.491667,1.619992,116.0,-0.9207867,0.3590728,0.7937944,off_on_m3,11
mock,scale1,self,self,PLACvsACAC,fixGuess,-0.08866995,0.9904559,116.0,-0.08952438,0.9288196,0.9997414,off_on_m3,11
