trial,scale,model_type,df1,df2,f,adjr2,p
sbmd,PANAS,without_guess,1.0,231.0,5.909012959038501,0.020721089914326196,0.015825931438907256
sbmd,PANAS,with_guess,3.0,229.0,12.370948086059386,0.12818939406428076,1.5768840143444293e-07
