trial,scale,model_type,component,est,se,t,p
sbmd,PANAS,without_guess,intercept,13.0,0.8345014659208,15.578163167940787,6.948356365188514e-38
sbmd,PANAS,without_guess,conditionAC,3.228260869565217,1.328039983983358,2.4308461405524,0.015825931438907294
sbmd,PANAS,with_guess,intercept,10.950980392156863,0.9257515494743743,11.829286592471425,1.6399996699374115e-25
sbmd,PANAS,with_guess,conditionAC,1.6399286987522264,1.6863376534109882,0.9724794411339334,0.33183816286937384
sbmd,PANAS,with_guess,guessAC,7.407993966817497,1.7602392488970091,4.208515388723124,3.69282882442616e-05
sbmd,PANAS,with_guess,conditionAC:guessAC,-0.43640305772658466,2.627987788678377,-0.1660597737960012,0.8682564287154857
